2026-03-28 10:19:39,412 | INFO | httpx | HTTP Request: DELETE https://tiqycnhzrbjpiedfmxkv.supabase.co/storage/v1/object/user-docs "HTTP/2 200 OK"
2026-03-28 10:19:43,220 | INFO | httpx | HTTP Request: POST http://localhost:6333/collections/DOCUMENTS/points/scroll "HTTP/1.1 200 OK"
2026-03-28 10:19:43,467 | INFO | httpx | HTTP Request: GET http://localhost:6333 "HTTP/1.1 200 OK"
2026-03-28 10:19:44,167 | INFO | httpx | HTTP Request: DELETE https://tiqycnhzrbjpiedfmxkv.supabase.co/storage/v1/object/user-docs "HTTP/2 200 OK"
2026-03-28 10:28:38,081 | INFO | httpx | HTTP Request: POST https://tiqycnhzrbjpiedfmxkv.supabase.co/storage/v1/object/user-docs/document/7186c2e9-75fe-4ca3-8396-ebde27c5a4fc.pdf "HTTP/2 200 OK"
2026-03-28 11:39:58,941 | INFO | httpx | HTTP Request: POST https://tiqycnhzrbjpiedfmxkv.supabase.co/storage/v1/object/user-docs/document/51c07388-3139-48d3-a3b3-62562f17cb99.pdf "HTTP/2 200 OK"
2026-03-28 11:40:18,109 | INFO | httpx | HTTP Request: POST http://localhost:6333/collections/DOCUMENTS/points/scroll "HTTP/1.1 200 OK"
2026-03-28 11:40:18,169 | INFO | httpx | HTTP Request: GET http://localhost:6333 "HTTP/1.1 200 OK"
2026-03-28 11:40:18,995 | INFO | httpx | HTTP Request: DELETE https://tiqycnhzrbjpiedfmxkv.supabase.co/storage/v1/object/user-docs "HTTP/2 200 OK"
2026-03-28 11:40:24,314 | INFO | httpx | HTTP Request: GET http://localhost:6333 "HTTP/1.1 200 OK"
2026-03-28 11:40:24,486 | INFO | httpx | HTTP Request: POST http://localhost:6333/collections/DOCUMENTS/points/scroll "HTTP/1.1 200 OK"
2026-03-28 11:40:25,525 | INFO | httpx | HTTP Request: DELETE https://tiqycnhzrbjpiedfmxkv.supabase.co/storage/v1/object/user-docs "HTTP/2 200 OK"
2026-03-28 12:04:22,870 | INFO | httpx | HTTP Request: GET http://localhost:6333 "HTTP/1.1 200 OK"
2026-03-28 12:04:22,979 | INFO | httpx | HTTP Request: POST http://localhost:6333/collections/DOCUMENTS/points/scroll "HTTP/1.1 200 OK"
2026-03-28 12:04:23,928 | INFO | httpx | HTTP Request: DELETE https://tiqycnhzrbjpiedfmxkv.supabase.co/storage/v1/object/user-docs "HTTP/2 200 OK"
2026-03-28 12:04:38,969 | INFO | httpx | HTTP Request: POST https://tiqycnhzrbjpiedfmxkv.supabase.co/storage/v1/object/user-docs/document/6a307b23-37b6-4481-ac13-d6511800d5b0.pdf "HTTP/2 200 OK"
2026-03-28 12:07:39,678 | INFO | httpx | HTTP Request: GET http://localhost:6333 "HTTP/1.1 200 OK"
2026-03-28 12:07:39,779 | INFO | httpx | HTTP Request: POST http://localhost:6333/collections/DOCUMENTS/points/scroll "HTTP/1.1 200 OK"
2026-03-28 12:07:40,520 | INFO | httpx | HTTP Request: DELETE https://tiqycnhzrbjpiedfmxkv.supabase.co/storage/v1/object/user-docs "HTTP/2 200 OK"
2026-03-28 12:07:53,947 | INFO | httpx | HTTP Request: POST https://tiqycnhzrbjpiedfmxkv.supabase.co/storage/v1/object/user-docs/document/5f6b2417-dbc6-4261-a6d2-e0d2e32c834a.pdf "HTTP/2 200 OK"
2026-03-28 12:08:38,176 | INFO | httpx | HTTP Request: GET http://localhost:6333/collections/DOCUMENTS "HTTP/1.1 200 OK"
2026-03-28 12:08:38,319 | INFO | httpx | HTTP Request: GET http://localhost:6333 "HTTP/1.1 200 OK"
2026-03-28 12:08:45,322 | INFO | httpx | HTTP Request: POST https://api.euron.one/api/v1/euri/embeddings "HTTP/1.1 200 OK"
2026-03-28 12:08:46,374 | INFO | httpx | HTTP Request: POST https://api.euron.one/api/v1/euri/embeddings "HTTP/1.1 200 OK"
2026-03-28 12:08:46,725 | INFO | httpx | HTTP Request: POST http://localhost:6333/collections/DOCUMENTS/points/query "HTTP/1.1 200 OK"
2026-03-28 12:08:50,443 | INFO | httpx | HTTP Request: POST https://api.euron.one/api/v1/euri/chat/completions "HTTP/1.1 200 OK"
2026-03-28 12:12:09,446 | INFO | httpx | HTTP Request: POST https://tiqycnhzrbjpiedfmxkv.supabase.co/storage/v1/object/user-docs/document/1ef17aed-27ab-417a-ba59-5386317d396c.pdf "HTTP/2 200 OK"
2026-03-28 12:13:06,876 | INFO | httpx | HTTP Request: GET http://localhost:6333/collections/DOCUMENTS "HTTP/1.1 200 OK"
2026-03-28 12:13:07,047 | INFO | httpx | HTTP Request: GET http://localhost:6333 "HTTP/1.1 200 OK"
2026-03-28 12:13:08,963 | INFO | httpx | HTTP Request: POST https://api.euron.one/api/v1/euri/embeddings "HTTP/1.1 200 OK"
2026-03-28 12:13:09,784 | INFO | httpx | HTTP Request: POST https://api.euron.one/api/v1/euri/embeddings "HTTP/1.1 200 OK"
2026-03-28 12:13:09,931 | INFO | httpx | HTTP Request: POST http://localhost:6333/collections/DOCUMENTS/points/query "HTTP/1.1 200 OK"
2026-03-28 12:13:11,377 | INFO | httpx | HTTP Request: POST https://api.euron.one/api/v1/euri/chat/completions "HTTP/1.1 200 OK"
2026-03-28 12:22:47,105 | INFO | httpx | HTTP Request: POST https://tiqycnhzrbjpiedfmxkv.supabase.co/storage/v1/object/user-docs/document/dac5724c-400f-4b77-b1b5-6c879fe09521.pdf "HTTP/2 200 OK"
2026-03-28 12:36:12,264 | INFO | httpx | HTTP Request: POST http://localhost:6333/collections/DOCUMENTS/points/scroll "HTTP/1.1 200 OK"
2026-03-28 12:36:12,462 | INFO | httpx | HTTP Request: GET http://localhost:6333 "HTTP/1.1 200 OK"
2026-03-28 12:36:13,144 | INFO | httpx | HTTP Request: DELETE https://tiqycnhzrbjpiedfmxkv.supabase.co/storage/v1/object/user-docs "HTTP/2 200 OK"
2026-03-28 12:36:16,695 | INFO | httpx | HTTP Request: GET http://localhost:6333 "HTTP/1.1 200 OK"
2026-03-28 12:36:16,730 | INFO | httpx | HTTP Request: POST http://localhost:6333/collections/DOCUMENTS/points/scroll "HTTP/1.1 200 OK"
2026-03-28 12:36:17,226 | INFO | httpx | HTTP Request: DELETE https://tiqycnhzrbjpiedfmxkv.supabase.co/storage/v1/object/user-docs "HTTP/2 200 OK"
2026-03-28 12:36:20,630 | INFO | httpx | HTTP Request: POST http://localhost:6333/collections/DOCUMENTS/points/scroll "HTTP/1.1 200 OK"
2026-03-28 12:36:20,648 | INFO | httpx | HTTP Request: GET http://localhost:6333 "HTTP/1.1 200 OK"
2026-03-28 12:36:20,835 | INFO | httpx | HTTP Request: DELETE https://tiqycnhzrbjpiedfmxkv.supabase.co/storage/v1/object/user-docs "HTTP/2 200 OK"
2026-03-28 12:36:39,749 | INFO | httpx | HTTP Request: POST https://tiqycnhzrbjpiedfmxkv.supabase.co/storage/v1/object/user-docs/document/fb4559ee-5832-427c-be37-604b33f7f818.pdf "HTTP/2 200 OK"
2026-03-28 14:05:38,235 | INFO | httpx | HTTP Request: POST https://tiqycnhzrbjpiedfmxkv.supabase.co/storage/v1/object/user-docs/document/16599c18-2b67-4082-99c3-11e19ee9ba0d.pdf "HTTP/2 200 OK"
2026-03-28 14:07:13,125 | INFO | httpx | HTTP Request: POST https://tiqycnhzrbjpiedfmxkv.supabase.co/storage/v1/object/user-docs/document/828a98df-54e3-4258-bb9f-51ccceb5df38.pdf "HTTP/2 200 OK"
2026-03-28 14:07:25,047 | INFO | httpx | HTTP Request: GET http://localhost:6333 "HTTP/1.1 200 OK"
2026-03-28 14:07:25,165 | INFO | httpx | HTTP Request: POST http://localhost:6333/collections/DOCUMENTS/points/scroll "HTTP/1.1 200 OK"
2026-03-28 14:07:25,615 | INFO | httpx | HTTP Request: DELETE https://tiqycnhzrbjpiedfmxkv.supabase.co/storage/v1/object/user-docs "HTTP/2 200 OK"
2026-03-28 14:09:28,247 | INFO | httpx | HTTP Request: GET http://localhost:6333 "HTTP/1.1 200 OK"
2026-03-28 14:09:28,364 | INFO | httpx | HTTP Request: GET http://localhost:6333/collections/DOCUMENTS "HTTP/1.1 200 OK"
2026-03-28 14:09:34,735 | INFO | httpx | HTTP Request: POST https://api.euron.one/api/v1/euri/embeddings "HTTP/1.1 200 OK"
2026-03-28 14:09:36,372 | INFO | httpx | HTTP Request: POST https://api.euron.one/api/v1/euri/embeddings "HTTP/1.1 200 OK"
2026-03-28 14:09:37,098 | INFO | httpx | HTTP Request: POST http://localhost:6333/collections/DOCUMENTS/points/query "HTTP/1.1 200 OK"
2026-03-28 14:09:40,722 | INFO | httpx | HTTP Request: POST https://api.euron.one/api/v1/euri/chat/completions "HTTP/1.1 200 OK"
2026-03-28 14:10:30,363 | INFO | httpx | HTTP Request: GET http://localhost:6333/collections/DOCUMENTS "HTTP/1.1 200 OK"
2026-03-28 14:10:30,443 | INFO | httpx | HTTP Request: GET http://localhost:6333 "HTTP/1.1 200 OK"
2026-03-28 14:10:32,340 | INFO | httpx | HTTP Request: POST https://api.euron.one/api/v1/euri/embeddings "HTTP/1.1 200 OK"
2026-03-28 14:10:33,068 | INFO | httpx | HTTP Request: POST https://api.euron.one/api/v1/euri/embeddings "HTTP/1.1 200 OK"
2026-03-28 14:10:33,183 | INFO | httpx | HTTP Request: POST http://localhost:6333/collections/DOCUMENTS/points/query "HTTP/1.1 200 OK"
2026-03-28 14:10:41,686 | INFO | httpx | HTTP Request: POST https://api.euron.one/api/v1/euri/chat/completions "HTTP/1.1 200 OK"
2026-03-28 14:10:55,978 | INFO | httpx | HTTP Request: GET http://localhost:6333/collections/DOCUMENTS "HTTP/1.1 200 OK"
2026-03-28 14:10:56,040 | INFO | httpx | HTTP Request: GET http://localhost:6333 "HTTP/1.1 200 OK"
2026-03-28 14:10:57,555 | INFO | httpx | HTTP Request: POST https://api.euron.one/api/v1/euri/embeddings "HTTP/1.1 200 OK"
2026-03-28 14:11:00,031 | INFO | httpx | HTTP Request: POST https://api.euron.one/api/v1/euri/embeddings "HTTP/1.1 200 OK"
2026-03-28 14:11:02,856 | INFO | httpx | HTTP Request: POST http://localhost:6333/collections/DOCUMENTS/points/query "HTTP/1.1 200 OK"
2026-03-28 14:11:05,671 | INFO | httpx | HTTP Request: POST https://api.euron.one/api/v1/euri/chat/completions "HTTP/1.1 200 OK"
2026-03-28 14:11:21,291 | INFO | httpx | HTTP Request: GET http://localhost:6333/collections/DOCUMENTS "HTTP/1.1 200 OK"
2026-03-28 14:11:21,477 | INFO | httpx | HTTP Request: GET http://localhost:6333 "HTTP/1.1 200 OK"
2026-03-28 14:11:24,022 | INFO | httpx | HTTP Request: POST https://api.euron.one/api/v1/euri/embeddings "HTTP/1.1 200 OK"
2026-03-28 14:11:25,658 | INFO | httpx | HTTP Request: POST https://api.euron.one/api/v1/euri/embeddings "HTTP/1.1 200 OK"
2026-03-28 14:11:26,282 | INFO | httpx | HTTP Request: POST http://localhost:6333/collections/DOCUMENTS/points/query "HTTP/1.1 200 OK"
2026-03-28 14:11:31,464 | INFO | httpx | HTTP Request: POST https://api.euron.one/api/v1/euri/chat/completions "HTTP/1.1 200 OK"
